base,arquivo,ano,uf,tipo,formato,status,caminho,observacoes
Populacao DATASUS,POPTAM22.dbf,2022,AM,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTAM22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTAP22.dbf,2022,AP,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTAP22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTBA22.dbf,2022,BA,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTBA22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTBR22.dbf,2022,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPTBR22.zip::POPTBR22.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTCE22.dbf,2022,CE,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTCE22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTDF22.dbf,2022,DF,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTDF22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTES22.dbf,2022,ES,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTES22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTGO22.dbf,2022,GO,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTGO22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTMA22.dbf,2022,MA,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTMA22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTMG22.dbf,2022,MG,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTMG22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTMS22.dbf,2022,MS,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTMS22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTMT22.dbf,2022,MT,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTMT22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTPA22.dbf,2022,PA,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTPA22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTPB22.dbf,2022,PB,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTPB22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTPE22.dbf,2022,PE,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTPE22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTPI22.dbf,2022,PI,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR22.zip::POPTPI22.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTBR23.dbf,2023,BR,populacao_residente,DBF,disponivel,data/raw/populacao_datasus/POPTBR23.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTBR23.zip,2023,BR,populacao_residente,ZIP,disponivel,data/raw/populacao_datasus/POPTBR23.zip,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTRN23.dbf,2023,RN,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTRN23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTRO23.dbf,2023,RO,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTRO23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTRR23.dbf,2023,RR,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTRR23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTRS23.dbf,2023,RS,populacao_residente_uf,DBF,preservado,data/raw/populacao_datasus/POPTBR23.zip::POPTRS23.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTSC23.dbf,2023,SC,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTSC23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTSE23.dbf,2023,SE,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTSE23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTSP23.dbf,2023,SP,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTSP23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTTO23.dbf,2023,TO,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTTO23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTAC23.dbf,2023,AC,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTAC23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTAL23.dbf,2023,AL,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTAL23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTAM23.dbf,2023,AM,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTAM23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTAP23.dbf,2023,AP,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTAP23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTBA23.dbf,2023,BA,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTBA23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTBR23.dbf,2023,BR,populacao_residente,DBF,preservado,data/raw/populacao_datasus/POPTBR23.zip::POPTBR23.dbf,Base complementar; nao substitui o denominador SINASC.
Populacao DATASUS,POPTCE23.dbf,2023,CE,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTCE23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTDF23.dbf,2023,DF,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTDF23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTES23.dbf,2023,ES,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTES23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTGO23.dbf,2023,GO,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTGO23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTMA23.dbf,2023,MA,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTMA23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTMG23.dbf,2023,MG,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTMG23.dbf,UF fora do recorte principal.
Populacao DATASUS,POPTMS23.dbf,2023,MS,populacao_residente_uf,DBF,ignorado,data/raw/populacao_datasus/POPTBR23.zip::POPTMS23.dbf,UF fora do recorte principal.
